epoch,train_loss,val_loss,val_roc_auc_score
1,0.6004312086909537,0.6084083914756775,0.7760071694187208
2,0.542255858935061,0.5644843578338623,0.7934826275507576
3,0.5222737284170257,0.5514185428619385,0.8212486737605454
4,0.4980692415246888,0.5648849010467529,0.818987628632351
5,0.48741051081627135,0.48989757895469666,0.80940265144882
6,0.46260675646009897,0.49968627095222473,0.822000638655116
7,0.4264264465087936,0.5059069991111755,0.814022600150393
8,0.3890841586130952,0.5434244275093079,0.8047981540806971
9,0.3702776050638585,0.45161673426628113,0.8025268080635359
10,0.318128592290339,0.5170090794563293,0.8128740510306038
11,0.25683398124954054,0.5891598463058472,0.7910670690880625
12,0.2196906270784518,0.5238879919052124,0.7937813533307925
13,0.17798667665689238,0.6398912072181702,0.7926482555444535
14,0.1484436463298542,0.7443069815635681,0.7872917932817602
15,0.09430530423941534,0.927219808101654,0.7892901657413035
16,0.08744476280832988,0.7961617112159729,0.7832486943623236
